Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
92700	20377488.517213	-16203965.446498	-4168722.464859	7872974.714366	24815857.905932	-4168722.464859
93000	20891981.280932	-15767582.947133	-3212276.460556	7830030.694528	24975631.586814	-3212276.460556
93300	21365613.640293	-15300362.890962	-2249547.413076	7781745.508223	25100497.757349	-2249547.413076
93600	21797481.043046	-14803234.436408	-1282420.592225	7726673.014359	25190562.791061	-1282420.592225
93900	22186763.199677	-14277185.383436	-312788.007228	7663384.797071	25246049.536582	-312788.007228
94200	22532725.597012	-13723259.997002	657455.529515	7590477.285000	25267295.905211	657455.529515
94500	22834720.814016	-13142556.714312	1626416.327523	7506578.750447	25254752.960706	1626416.327523
94800	23092189.638117	-12536225.742686	2592205.722324	7410356.155994	25208982.522023	2592205.722324
95100	23304661.981029	-11905466.555068	3552943.948872	7300521.817064	25130654.291969	3552943.948872
95400	23471757.593681	-11251525.290415	4506763.974910	7175839.850017	25020542.526978	4506763.974910
95700	23593186.580490	-10575692.066381	5451815.285116	7035132.376553	24879522.265291	5451815.285116
96000	23668749.713818	-9879298.211862	6386267.607243	6877285.456575	24708565.132824	6386267.607243
96300	23698338.550061	-9163713.427050	7308314.571742	6701254.723173	24508734.747873	7308314.571742
96600	23681935.349373	-8430342.878745	8216177.296767	6506070.694943	24281181.747549	8216177.296767
96900	23619612.801578	-7680624.238626	9108107.890812	6290843.742629	24027138.460442	9108107.890812
97200	23511533.561256	-6916024.672583	9982392.865655	6054768.688818	23747913.251457	9982392.865655
97500	23357949.595809	-6138037.788069	10837356.452698	5797129.021354	23444884.566103	10837356.452698
97800	23159201.350174	-5348180.548211	11671363.816228	5517300.703074	23119494.702654	11671363.816228
98100	22915716.732890	-4547990.159502	12482824.157573	5214755.562488	22773243.341617	12482824.157573
98400	22628009.928253	-3739020.940889	13270193.704571	4889064.252082	22407680.862788	13270193.704571
98700	22296680.039778	-2922841.181553	14031978.581246	4539898.763044	22024401.480860	14031978.581246
99000	21922409.570488	-2101029.994602	14766737.553025	4167034.487309	21625036.231091	14766737.553025
99300	21505962.745850	-1275174.173668	15473084.643303	3770351.819959	21211245.836886	15473084.643303
99600	21048183.685445	-446865.059255	16149691.617619	3349837.297166	20784713.491409	16149691.617619
99900	20549994.429656	382304.578585	16795290.332152	2905584.266960	20347137.585353	16795290.332152
100200	20012392.827884	1210743.634855	17408674.943684	2437793.092220	19900224.412966	17408674.943684
100500	19436450.294935	2036865.735389	17988703.978638	1946770.887368	19445680.888145	17988703.978638
100800	18823309.442358	2859092.267915	18534302.259165	1432930.792261	18985207.302103	18534302.259165
101100	18174181.591610	3675855.372810	19044462.684741	896790.788761	18520490.153552	19044462.684741
101400	17490344.175982	4485600.888203	19518247.868039	338972.067415	18053195.081760	19518247.868039
101700	16773138.038280	5286791.244376	19954791.624301	-239803.046498	17584959.932047	19954791.624301
102000	16023964.631238	6077908.302663	20353300.313723	-838713.596472	17117387.982453	20353300.313723
102300	15244283.127647	6857456.134367	20713054.036769	-1456842.915041	16652041.359290	20713054.036769
102600	14435607.447156	7623963.735448	21033407.682592	-2093181.946390	16190434.668257	21033407.682592
102900	13599503.206614	8375987.673053	21313791.831105	-2746632.955344	15734028.866583	21313791.831105
103200	12737584.600785	9112114.660191	21553713.509464	-3416013.605290	15284225.400428	21553713.509464
103500	11851511.220135	9830964.055165	21752756.804040	-4100061.386267	14842360.630432	21752756.804040
103800	10942984.812324	10531190.282605	21910583.329170	-4797438.373151	14409700.566875	21910583.329170
104100	10013745.993873	11211485.173196	22026932.554200	-5506736.292718	13987435.934476	22026932.554200
104400	9065570.918376	11870580.219485	22101621.990550	-6226481.877317	13576677.585285	22101621.990550
104700	8100267.907431	12507248.745329	22134547.240706	-6955142.481897	13178452.276584	22134547.240706
105000	7119674.050516	13120307.986739	22125681.911194	-7691131.940298	12793698.829088	22125681.911194
105300	6125651.779314	13708621.082378	22075077.391767	-8432816.635959	12423264.679059	22075077.391767
105600	5120085.422756	14271098.971619	21982862.503141	-9178521.761552	12067902.836317	21982862.503141
105900	4104877.747960	14806702.198839	21849243.015728	-9926537.741509	11728269.258386	21849243.015728
106200	3081946.492631	15314442.622472	21674501.041937	-10675126.790959	11404920.649323	21674501.041937
106500	2053220.894149	15793385.027607	21458994.304647	-11422529.584284	11098312.690070	21458994.304647
106800	1020638.220406	16242648.641081	21203155.284592	-12166972.006238	10808798.705407	21203155.284592
107100	-13859.692683	16661408.548143	20907490.249375	-12906671.958463	10536628.770904	20907490.249375
107400	-1048329.892240	17048897.009919	20572578.166946	-13639846.194179	10281949.261542	20572578.166946
107700	-2080831.743455	17404404.681032	20199069.506366	-14364717.153906	10044802.841966	20199069.506366
108000	-3109430.344134	17727281.726824	19787684.928717	-15079519.775205	9825128.896681	19787684.928717
108300	-4132199.914439	18016938.839751	19339213.871047	-15782508.249693	9622764.396815	19339213.871047
108600	-5147227.157665	18272848.154618	18854513.026237	-16471962.700905	9437445.198480	18854513.026237
108900	-6152614.587969	18494544.062374	18334504.721680	-17146195.757008	9268807.766133	18334504.721680
109200	-7146483.821136	18681623.922310	17780175.199689	-17803558.992858	9116391.312807	17780175.199689
109500	-8126978.824553	18833748.672527	17192572.802502	-18442449.216510	8979640.347535	17192572.802502
109800	-9092269.122644	18950643.338620	16572806.064812	-19061314.575919	8857907.618847	16572806.064812
110100	-10040552.954150	19032097.440585	15922041.716680	-19658660.462334	8750457.441739	15922041.716680
110400	-10970060.377680	19077965.297985	15241502.599734	-20233055.187702	8656469.394187	15241502.599734
110700	-11879056.322048	19088166.233473	14532465.499534	-20783135.414267	8575042.367902	14532465.499534
111000	-12765843.577973	19062684.674781	13796258.896980	-21307611.315516	8505198.956772	13796258.896980
111300	-13628765.727773	19001570.155363	13034260.641651	-21805271.448640	8445890.165213	13034260.641651
111600	-14466210.009710	18904937.213866	12247895.549967	-22274987.319743	8396000.417493	12247895.549967
111900	-15276610.113704	18772965.192660	11438632.931074	-22715717.624187	8354352.848016	11438632.931074
112200	-16058448.905148	18605897.935696	10607984.043377	-23126512.145648	8319714.851485	10607984.043377
112500	-16810261.073577	18404043.385969	9757499.484655	-23506515.298692	8290803.870962	9757499.484655
112800	-17530635.702989	18167773.082871	8888766.518746	-23854969.301005	8266293.400899	8888766.518746
113100	-18218218.760381	17897521.560033	8003406.341798	-24171216.962708	8244819.181438	8003406.341798
113400	-18871715.499842	17593785.643458	7103071.291156	-24454704.081641	8224985.559518	7103071.291156
113700	-19489892.778209	17257123.651162	6189441.999983	-24704981.434845	8205371.991662	6189441.999983
114000	-20071581.279640	16888154.494224	5264224.500804	-24921706.358011	8184539.662744	5264224.500804
114300	-20615677.645641	16487556.680009	4329147.281195	-25104643.906115	8161038.194534	4329147.281195
114600	-21121146.507332	16056067.218126	3385958.294964	-25253667.589994	8133412.417383	3385958.294964
114900	-21587022.416702	15594480.429768	2436421.932217	-25368759.685185	8100209.178098	2436421.932217
115200	-22012411.673602	15103646.661171	1482315.951830	-25450011.110918	8059984.156794	1482315.951830
115500	-22396494.045190	14584470.902008	525428.379936	-25497620.878738	8011308.665376	525428.379936
115800	-22738524.374583	14037911.309600	-432445.621836	-25511895.111849	7952776.400208	-432445.621836
116100	-23037834.075429	13464977.639970	-1389506.914530	-25493245.637912	7883010.121583	-1389506.914530
116400	-23293832.509159	12866729.586828	-2343955.562441	-25442188.159598	7800668.232717	-2343955.562441
116700	-23506008.241669	12244275.029720	-3293994.032003	-25359340.008898	7704451.231201	-3293994.032003
117000	-23673930.176211	11598768.192714	-4237830.404708	-25245417.492742	7593108.006184	-4237830.404708
117300	-23797248.559327	10931407.715085	-5173681.599654	-25101232.839150	7465441.954939	-5173681.599654
117600	-23875695.856669	10243434.635690	-6099776.601160	-24927690.754695	7320316.893013	-6099776.601160
117900	-23909087.495646	9536130.292801	-7014359.686722	-24725784.605660	7156662.732743	-7014359.686722
118200	-23897322.471867	8810814.141414	-7915693.650440	-24496592.236831	6973480.905646	-7915693.650440
118500	-23840383.816493	8068841.490170	-8802063.016859	-24241271.443362	6769849.505005	-8802063.016859
118800	-23738338.921641	7311601.160260	-9671777.240043	-23961055.112673	6544928.125873	-9671777.240043
119100	-23591339.721178	6540513.068874	-10523173.882511	-23657246.054749	6297962.380738	-10523173.882511
119400	-23399622.724321	5757025.739961	-11354621.768511	-23331211.540638	6028288.070186	-11354621.768511
119700	-23163508.899655	4962613.745298	-12164524.105977	-22984377.570252	5735334.989127	-12164524.105977
120000	-22883403.407331	4158775.079089	-12951321.571341	-22618222.891880	5418630.350406	-12951321.571341
120300	-22559795.177431	3347028.469556	-13713495.351246	-22234272.797002	5077801.809069	-13713495.351246
120600	-22193256.332682	2528910.631213	-14449570.135072	-21834092.715155	4712580.071979	-14449570.135072
120900	-21784441.453955	1705973.461748	-15158117.052076	-21419281.634633	4322801.079077	-15158117.052076
121200	-21334086.687225	879781.187966	-15837756.546822	-20991465.375758	3908407.744221	-15837756.546822
121500	-20843008.691036	51907.464557	-16487161.186499	-20552289.744364	3469451.245254	-16487161.186499
121800	-20312103.423663	-776067.568649	-17105058.393656	-20103413.593850	3006091.854769	-17105058.393656
122100	-19742344.769666	-1602560.266713	-17690233.097798	-19646501.824862	2518599.304872	-17690233.097798
122400	-19134783.005769	-2425986.491377	-18241530.299280	-19183218.352181	2007352.681210	-18241530.299280
122700	-18490543.106414	-3244764.649209	-18757857.538890	-18715219.068833	1472839.843456	-18757857.538890
123000	-17810822.889709	-4057318.750399	-19238187.266555	-18244144.837734	915656.371527	-19238187.266555
123300	-17096891.004937	-4862081.482252	-19681559.102589	-17771614.541358	336504.038811	-19681559.102589
123600	-16350084.763166	-5657497.291218	-20087081.985003	-17299218.219964	-263811.184185	-20087081.985003
123900	-15571807.813011	-6442025.467072	-20453936.196447	-16828510.328801	-884381.590260	-20453936.196447
124200	-14763527.663999	-7214143.222661	-20781375.264501	-16361003.144487	-1524200.652410	-20781375.264501
124500	-13926773.060506	-7972348.762449	-21068727.729141	-15898160.350385	-2182166.387422	-21068727.729141
124800	-13063131.209698	-8715164.332916	-21315398.771407	-15441390.830247	-2857085.154328	-21315398.771407
125100	-12174244.867412	-9441139.247735	-21520871.697487	-14992042.698760	-3547675.873777	-21520871.697487
125400	-11261809.286395	-10148852.880497	-21684709.272688	-14551397.596773	-4252574.652339	-21684709.272688
125700	-10327569.031851	-10836917.617681	-21806554.900012	-14120665.278062	-4970339.793715	-21806554.900012
126000	-9373314.669727	-11503981.764462	-21886133.638370	-13700978.513343	-5699457.176933	-21886133.638370
126300	-8400879.333682	-12148732.395905	-21923253.055798	-13293388.336040	-6438345.979645	-21923253.055798
126600	-7412135.177174	-12769898.146075	-21917803.913407	-12898859.652873	-7185364.722916	-21917803.913407
126900	-6408989.717603	-13366251.927596	-21869760.676182	-12518267.240870	-7938817.612117	-21869760.676182
127200	-5393382.079904	-13936613.574212	-21779181.847190	-12152392.150727	-8696961.146958	-21779181.847190
127500	-4367279.147469	-14479852.399000	-21646210.122187	-11801918.534657	-9458010.972190	-21646210.122187
127800	-3332671.628713	-14994889.660962	-21471072.362119	-11467430.915043	-10220148.939129	-21471072.362119
128100	-2291570.048011	-15480700.932866	-21254079.381493	-11149411.908144	-10981530.346920	-21254079.381493
128400	-1246000.670166	-15936318.363373	-20995625.551150	-10848240.415090	-11740291.331362	-20995625.551150
128700	-198001.367853	-16360832.826694	-20696188.214484	-10564190.290181	-12494556.368177	-20696188.214484
129000	850382.557865	-16753395.953236	-20356326.916762	-10297429.494273	-13242445.856831	-20356326.916762
129300	1897102.594346	-17113222.035012	-19976682.447741	-10048019.738742	-13982083.750391	-19976682.447741
129600	2940111.260352	-17439589.799816	-19557975.698405	-9815916.623121	-14711605.196478	-19557975.698405
129900	3977366.365082	-17731844.048580	-19101006.333225	-9600970.267140	-15429164.154119	-19101006.333225
130200	5006835.272182	-17989397.150635	-18606651.279963	-9402926.435446	-16132940.951222	-18606651.279963
130500	6026499.157766	-18211730.392016	-18075863.039667	-9221428.150879	-16821149.747511	-18075863.039667
130800	7034357.251356	-18398395.172376	-17509667.820082	-9056017.789714	-17492045.868079	-17509667.820082
131100	8028431.048566	-18549014.046498	-16909163.496342	-8906139.649911	-18143932.973174	-16909163.496342
131400	9006768.484362	-18663281.606895	-16275517.403379	-8771142.980993	-18775170.030551	-16275517.403379
131700	9967448.055777	-18740965.204440	-15609963.965084	-8650285.461889	-19384178.057542	-15609963.965084
132000	10908582.883036	-18781905.504529	-14913802.165831	-8542737.110783	-19969446.601075	-14913802.165831
132300	11828324.698173	-18786016.876744	-14188392.870495	-8447584.608824	-20529539.925081	-14188392.870495
132600	12724867.750447	-18753287.616577	-13435155.999660	-8363836.017482	-21063102.876098	-13435155.999660
132900	13596452.618041	-18683779.998276	-12655567.567192	-8290425.867293	-21568866.399455	-12655567.567192
133200	14441369.915872	-18577630.158473	-11851156.587827	-8226220.593905	-22045652.680120	-11851156.587827
133500	15257963.889599	-18435047.810762	-11023501.862872	-8170024.295557	-22492379.884116	-11023501.862872
133800	16044635.886343	-18256315.791996	-10174228.652516	-8120584.784525	-22908066.478421	-10174228.652516
134100	16799847.693009	-18041789.441602	-9305005.243626	-8076599.903591	-23291835.109340	-9305005.243626
134400	17522124.733563	-17791895.815752	-8417539.422216	-8036724.077316	-23642916.021553	-8417539.422216
134700	18210059.117091	-17507132.738807	-7513574.860088	-7999575.066719	-23960650.002329	-7513574.860088
135000	18862312.529008	-17188067.694911	-6594887.425380	-7963740.895028	-24244490.837790	-6594887.425380
135300	19477618.958310	-16835336.563194	-5663281.426945	-7927786.911363	-24494007.270538	-5663281.426945
135600	20054787.254355	-16449642.200463	-4720585.802682	-7890262.958597	-24708884.450434	-4720585.802682
135900	20592703.507244	-16031752.875798	-3768650.262004	-7849710.611231	-24888924.872879	-3768650.262004
136200	21090333.246505	-15582500.561845	-2809341.392739	-7804670.448858	-25034048.801448	-2809341.392739
136500	21546723.453412	-15102779.088089	-1844538.742765	-7753689.330750	-25144294.174299	-1844538.742765
136800	21961004.382933	-14593542.161669	-876130.886648	-7695327.637223	-25219815.996303	-876130.886648
137100	22332391.191757	-14055801.262038	93988.512479	-7628166.443741	-25260885.221349	93988.512479
137400	22660185.370160	-13490623.415096	1063924.635701	-7550814.594212	-25267887.131729	1063924.635701
137700	22943775.975003	-12899128.854342	2031785.425797	-7461915.640597	-25241319.223936	2031785.425797
138000	23182640.662945	-12282488.575269	2995685.479638	-7360154.616748	-25181788.612535	2995685.479638
138300	23376346.522915	-11641921.790376	3953749.905935	-7244264.615418	-25090008.966010	3953749.905935
138600	23524550.707742	-10978693.292097	4904118.139071	-7113033.138498	-24966796.990678	4904118.139071
138900	23627000.865438	-10294110.731104	5844947.699980	-6965308.191817	-24813068.480796	5844947.699980
139200	23683535.371230	-9589521.817602	6774417.895417	-6800004.097269	-24629833.954935	6774417.895417
139500	23694083.362013	-8866311.453311	7690733.447267	-6616106.996561	-24418193.900516	7690733.447267
139800	23658664.575462	-8125898.801887	8592128.043938	-6412680.022518	-24179333.650072	8592128.043938
140100	23577388.996566	-7369734.305551	9476867.806265	-6188868.115653	-23914517.914373	9476867.806265
