time (min)	GST (deg)	GST (min)	GST (sec)	GST (hour)	GST (min)	GST (sec)
2490	92.0000	49.0000	7.6208	6.0000	11.0000	16.5081
2500	95.0000	19.0000	32.2620	6.0000	21.0000	18.1508
2510	97.0000	49.0000	56.9032	6.0000	31.0000	19.7935
2520	100.0000	20.0000	21.5444	6.0000	41.0000	21.4363
2530	102.0000	50.0000	46.1855	6.0000	51.0000	23.0790
2540	105.0000	21.0000	10.8267	7.0000	1.0000	24.7218
2550	107.0000	51.0000	35.4679	7.0000	11.0000	26.3645
2560	110.0000	22.0000	0.1091	7.0000	21.0000	28.0073
2570	112.0000	52.0000	24.7503	7.0000	31.0000	29.6500
2580	115.0000	22.0000	49.3915	7.0000	41.0000	31.2928
2590	117.0000	53.0000	14.0327	7.0000	51.0000	32.9355
2600	120.0000	23.0000	38.6738	8.0000	1.0000	34.5783
2610	122.0000	54.0000	3.3150	8.0000	11.0000	36.2210
2620	125.0000	24.0000	27.9562	8.0000	21.0000	37.8637
2630	127.0000	54.0000	52.5974	8.0000	31.0000	39.5065
2640	130.0000	25.0000	17.2386	8.0000	41.0000	41.1492
2650	132.0000	55.0000	41.8798	8.0000	51.0000	42.7920
2660	135.0000	26.0000	6.5209	9.0000	1.0000	44.4347
2670	137.0000	56.0000	31.1621	9.0000	11.0000	46.0775
2680	140.0000	26.0000	55.8033	9.0000	21.0000	47.7202
2690	142.0000	57.0000	20.4445	9.0000	31.0000	49.3630
2700	145.0000	27.0000	45.0857	9.0000	41.0000	51.0057
2710	147.0000	58.0000	9.7269	9.0000	51.0000	52.6485
2720	150.0000	28.0000	34.3681	10.0000	1.0000	54.2912
2730	152.0000	58.0000	59.0092	10.0000	11.0000	55.9339
2740	155.0000	29.0000	23.6504	10.0000	21.0000	57.5767
2750	157.0000	59.0000	48.2916	10.0000	31.0000	59.2194
2760	160.0000	30.0000	12.9328	10.0000	42.0000	0.8622
2770	163.0000	0.0000	37.5740	10.0000	52.0000	2.5049
2780	165.0000	31.0000	2.2152	11.0000	2.0000	4.1477
2790	168.0000	1.0000	26.8563	11.0000	12.0000	5.7904
2800	170.0000	31.0000	51.4975	11.0000	22.0000	7.4332
2810	173.0000	2.0000	16.1387	11.0000	32.0000	9.0759
2820	175.0000	32.0000	40.7799	11.0000	42.0000	10.7187
2830	178.0000	3.0000	5.4211	11.0000	52.0000	12.3614
2840	180.0000	33.0000	30.0623	12.0000	2.0000	14.0042
2850	183.0000	3.0000	54.7034	12.0000	12.0000	15.6469
2860	185.0000	34.0000	19.3446	12.0000	22.0000	17.2896
