Time(sec)	Xin(m)	Yin(m)	Zin(m)	x(m)	y(m)	z(m)
35700	18035598.392529	9192418.190494	-17201851.095439	-20028720.374452	2938319.541426	-17201851.095439
36000	17169551.140933	9706341.533894	-17781628.909281	-19570896.355289	2446746.452793	-17781628.909281
36300	16270620.771593	10201677.751255	-18327348.415013	-19106979.972337	1931487.916133	-18327348.415013
36600	15340496.245328	10677457.683202	-18837927.482947	-18638624.927320	1393050.052281	-18837927.482947
36900	14380929.964946	11132747.826083	-19312349.265325	-18167468.713910	832046.480042	-19312349.265325
37200	13393734.786919	11566652.078393	-19749664.439599	-17695125.680386	249196.710025	-19749664.439599
37500	12380780.656613	11978313.782318	-20148993.336725	-17223180.185996	-354675.930317	-20148993.336725
37800	11343991.244153	12366917.498651	-20509527.948068	-16753179.881414	-978646.834583	-20509527.948068
38100	10285340.285174	12731690.878186	-20830533.804642	-16286629.143430	-1621693.110264	-20830533.804642
38400	9206848.062253	13071906.199200	-21111351.722552	-15824982.693615	-2282697.016443	-21111351.722552
38700	8110577.492503	13386882.092959	-21351399.408689	-15369639.430130	-2960449.834140	-21351399.408689
39000	6998630.261532	13675985.036066	-21550172.920928	-14921936.501182	-3653656.155010	-21550172.920928
39300	5873142.668947	13938630.863221	-21707247.977342	-14483143.647753	-4360938.572083	-21707247.977342
39600	4736281.671857	14174286.022869	-21822281.109197	-14054457.842288	-5080842.754170	-21822281.109197
39900	3590240.533533	14382468.906802	-21895010.652810	-13636998.248841	-5811842.883704	-21895010.652810
40200	2437234.567175	14562750.986196	-21925257.575702	-13231801.528955	-6552347.435824	-21925257.575702
40500	1279496.611289	14714757.890578	-21912926.132819	-12839817.516123	-7300705.274785	-21912926.132819
40800	119272.758881	14838170.313834	-21858004.349025	-12461905.280132	-8055212.042049	-21858004.349025
41100	-1041182.292387	14932724.877453	-21760564.324479	-12098829.600928	-8814116.808813	-21760564.324479
41400	-2199609.744520	14998214.845689	-21620762.359984	-11751257.869863	-9575628.964283	-21620762.359984
41700	-3353751.438930	15034490.708049	-21438838.899852	-11419757.434264	-10337925.309612	-21438838.899852
42000	-4501354.289941	15041460.678725	-21215118.290384	-11104793.399272	-11099157.326242	-21215118.290384
42300	-5640175.065426	15019091.038477	-20950008.352545	-10806726.898792	-11857458.586293	-20950008.352545
42600	-6767984.971807	14967406.379389	-20643999.767995	-10525813.845213	-12610952.271747	-20643999.767995
42900	-7882574.430238	14886489.646568	-20297665.278218	-10262204.165307	-13357758.768415	-20297665.278218
43200	-8981757.499880	14776482.190599	-19911658.697036	-10015941.527361	-14096003.300093	-19911658.697036
43500	-10063376.602182	14637583.554146	-19486713.737424	-9786963.562293	-14823823.567903	-19486713.737424
43800	-11125307.002337	14470051.217147	-19023642.654141	-9575102.579022	-15539377.359608	-19023642.654141
44100	-12165461.428935	14274200.076887	-18523334.704294	-9380086.771998	-16240850.093627	-18523334.704294
44400	-13181794.302626	14050402.034439	-17986754.428555	-9201541.916339	-16926462.262622	-17986754.428555
44700	-14172306.208246	13799085.217552	-17414939.756400	-9038993.543579	-17594476.741884	-17414939.756400
45000	-15135048.082936	13520733.221608	-16808999.939289	-8891869.588674	-18243205.928254	-16808999.939289
45300	-16068125.483966	13215884.034244	-16170113.316348	-8759503.496489	-18871018.676003	-16170113.316348
45600	-16969702.439039	12885129.161312	-15499524.917665	-8641137.773707	-19476346.997038	-15499524.917665
45900	-17838005.446851	12529112.345280	-14798543.910903	-8535927.969840	-20057692.493810	-14798543.910903
46200	-18671327.328409	12148528.125899	-14068540.897458	-8442947.068834	-20613632.494619	-14068540.897458
46500	-19468030.680716	11744120.639846	-13310945.064931	-8361190.270695	-21142825.862353	-13310945.064931
46800	-20226551.456713	11316681.921448	-12527241.203164	-8289580.140589	-21644018.449332	-12527241.203164
47100	-20945402.212784	10867050.329756	-11718966.591584	-8226972.100982	-22116048.172637	-11718966.591584
47400	-21623175.331585	10396108.600920	-10887707.765992	-8172160.240704	-22557849.686148	-10887707.765992
47700	-22258545.816413	9904782.257850	-10035097.173379	-8123883.413193	-22968458.627553	-10035097.173379
48000	-22850274.142083	9394037.467903	-9162809.723690	-8080831.594764	-23347015.420687	-9162809.723690
48300	-23397208.763702	8864879.087487	-8272559.247775	-8041652.472458	-23692768.615766	-8272559.247775
48600	-23898288.545993	8318348.317724	-7366094.871075	-8004958.229916	-24005077.752422	-7366094.871075
48900	-24352544.781290	7755520.795140	-6445197.312793	-7969332.498784	-24283415.732809	-6445197.312793
49200	-24759103.196729	7177504.096487	-5511675.120539	-7933337.442408	-24527370.694517	-5511675.120539
49500	-25117185.624799	6585435.486870	-4567360.850551	-7895520.937968	-24736647.375512	-4567360.850551
49800	-25426111.546795	5980479.278309	-3614107.203723	-7854423.822836	-24911067.965858	-3614107.203723
50100	-25685299.259696	5363824.688636	-2653783.127723	-7808587.170713	-25050572.443517	-2653783.127723
50400	-25894266.970128	4736683.099914	-1688269.895509	-7756559.563085	-25155218.394074	-1688269.895509
50700	-26052633.572614	4100285.609631	-719457.170514	-7696904.321693	-25225180.316743	-719457.170514
51000	-26160119.261965	3455880.204257	250760.931300	-7628206.668044	-25260748.421534	250760.931300
